model,threshold,roc_auc,accuracy,bal_accuracy,sensitivity,specificity
Random forest,0.27,0.6562038974628457,0.6794599324915614,0.6021916656034091,0.46188091263216474,0.7425024185746534
XGBoost,0.25,0.6183448820160901,0.7232154019252407,0.5507665594077484,0.2376182526432944,0.8639148661722025
Logistic regression,0.28,0.6318626551077527,0.6770846355794474,0.5787238198602889,0.4001112966054535,0.7573363431151241
