model,threshold,bal_accuracy,sensitivity,specificity
Random forest,0.19,0.6237665680135926,0.7141863699582753,0.53334676606891
XGBoost,0.22999999999999998,0.6034339088391791,0.5973574408901252,0.6095103767882329
Logistic regression,0.2,0.6021490882320549,0.7009735744089013,0.5033246020552086
